payment_id,payment_method,charge,rule_max,rank,note,fix,status,del_flg,creator_id,create_date,update_date,payment_image,upper_rule,charge_flg,rule_min,upper_rule_max,module_id,module_path,memo01,memo02,memo03,memo04,memo05,memo06,memo07,memo08,memo09,memo10
1,郵便振替,0,,4,,2,1,0,1,"2012-10-01 20:44:56.258063","2012-10-01 20:44:56.258063",,,1,,,,,,,,,,,,,,
2,現金書留,0,,3,,2,1,0,1,"2012-10-01 20:44:56.259663","2012-10-01 20:44:56.259663",,,1,,,,,,,,,,,,,,
3,銀行振込,0,,2,,2,1,0,1,"2012-10-01 20:44:56.26048","2012-10-01 20:44:56.26048",,,1,,,,,,,,,,,,,,
4,代金引換,0,,1,,2,1,0,1,"2012-10-01 20:44:56.261207","2012-10-01 20:44:56.261207",,,1,,,,,,,,,,,,,,
